ID,Case Number,Date,Block,IUCR,Primary Type,Description,Location Description,Arrest,Domestic,Beat,District,Ward,Community Area,FBI Code,X Coordinate,Y Coordinate,Year,Updated On,Latitude,Longitude,Location
7117371,HR526804,09/08/2009 10:00:00 PM,003XX W 35TH ST,0460,BATTERY,SIMPLE,SPORTS ARENA/STADIUM,true,false,0925,009,11,34,08B,1174431,1881739,2009,02/28/2018 03:56:25 PM,41.830890037,-87.635503335,"(41.830890037, -87.635503335)"
7117372,HR526592,09/06/2009 05:00:00 PM,045XX N SEELEY AVE,0910,MOTOR VEHICLE THEFT,AUTOMOBILE,STREET,false,false,1911,019,47,4,07,1161756,1930040,2009,02/28/2018 03:56:25 PM,41.963704944,-87.680660445,"(41.963704944, -87.680660445)"
7117373,HR526849,09/08/2009 10:00:00 PM,078XX S CALUMET AVE,2825,OTHER OFFENSE,HARASSMENT BY TELEPHONE,APARTMENT,false,false,0623,006,6,69,26,1179834,1853004,2009,02/28/2018 03:56:25 PM,41.751916378,-87.616558623,"(41.751916378, -87.616558623)"
7117374,HR526607,09/08/2009 07:40:00 PM,050XX S ABERDEEN ST,0430,BATTERY,AGGRAVATED: OTHER DANG WEAPON,SIDEWALK,false,false,0921,009,16,61,04B,1169837,1871396,2009,02/28/2018 03:56:25 PM,41.802608958,-87.652659518,"(41.802608958, -87.652659518)"
7117375,HR526652,09/07/2009 09:30:00 AM,057XX S PRAIRIE AVE,0620,BURGLARY,UNLAWFUL ENTRY,RESIDENCE,false,false,0234,002,20,40,05,1179019,1867057,2009,02/28/2018 03:56:25 PM,41.790497871,-87.619117551,"(41.790497871, -87.619117551)"
7117376,HR526097,08/26/2009 11:30:00 AM,068XX S RIDGELAND AVE,1310,CRIMINAL DAMAGE,TO PROPERTY,APARTMENT,false,false,0332,003,5,43,14,1189045,1859999,2009,02/28/2018 03:56:25 PM,41.770895733,-87.582581238,"(41.770895733, -87.582581238)"
7117378,HR526794,09/08/2009 08:00:00 AM,032XX W BEACH AVE,0820,THEFT,$500 AND UNDER,STREET,false,false,1422,014,26,23,06,1154520,1909456,2009,02/28/2018 03:56:25 PM,41.907369066,-87.707817161,"(41.907369066, -87.707817161)"
7117379,HR526741,09/08/2009 08:15:00 PM,056XX N KENMORE AVE,1821,NARCOTICS,MANU/DEL:CANNABIS 10GM OR LESS,SIDEWALK,true,false,2022,020,48,77,18,1168227,1937734,2009,02/28/2018 03:56:25 PM,41.984679782,-87.656645308,"(41.984679782, -87.656645308)"
7117380,HR526839,09/08/2009 10:30:00 PM,048XX W GLADYS AVE,2027,NARCOTICS,POSS: CRACK,SIDEWALK,true,false,1533,015,24,25,18,1144127,1897902,2009,02/28/2018 03:56:25 PM,41.875865176,-87.746286023,"(41.875865176, -87.746286023)"
7117382,HR526245,09/04/2009 12:00:00 AM,012XX S KOSTNER AVE,1710,OFFENSE INVOLVING CHILDREN,ENDANGERING LIFE/HEALTH CHILD,APARTMENT,false,false,1011,010,24,29,26,1147242,1894099,2009,02/28/2018 03:56:25 PM,41.865370252,-87.734946088,"(41.865370252, -87.734946088)"
