TIMESTAMP;MESSAGE;KEY-SOURCE;VALUE
1538013206202293;90001;Horus0JTempSensorMiddle;-121292.935510
1538013206206892;90001;Horus1JTRefSensorBack;-155324.133887
1538013206219960;90001;Horus1JTRefSensorFront;-153872.506467
1538013206225286;90001;Horus1JTRefSensorMiddle;-153872.506467
1538013206230303;90001;Horus1JTempSensorBack;-124196.190349
1538013206239157;90001;Horus1JTempSensorFront;-122744.562930
1538013206244182;90001;Horus1JTempSensorMiddle;-121292.935510
1538013206244205;90001;LeftTowerFilterObstructionPressureSensor;0.000000
1538013206244213;90001;NTCFront;36.146392
1538013206244220;90001;NTCFusingLamp1Left;26.600672
1538013206244227;90001;NTCFusingLamp1Right;26.474702
1538013206244234;90001;NTCFusingLamp2Left;27.105506
1538013206244240;90001;NTCFusingLamp2Right;26.766398
1538013206244247;90001;NTCHeimannCase;34.117222
1538013206244257;90001;NTCLeftCoolingTowerExitAir;31.520798
1538013206244265;90001;NTCOutletAirTopHeating;32.175371
1538013206244273;90001;NTCRightCoolingTowerExitAir;28.197040
1538013206250196;90001;PazHRSensor;45.680000
1538013206251539;90001;PazTempSensor;28.500000
1538013206251979;90001;Pen0_Die0;44.790000
1538013206252274;90001;Pen0_Die1;44.670000
1538013206253319;90001;Pen0_Die2;44.790000
1538013206253650;90001;Pen0_Die3;44.350000
1538013206254164;90001;Pen0_Die4;44.260000
1538013206254499;90001;Pen1_Die0;44.400000
1538013206255085;90001;Pen1_Die1;44.420000
1538013206256662;90001;Pen1_Die2;44.170000
1538013206257048;90001;Pen1_Die3;44.420000
1538013206257959;90001;Pen1_Die4;44.170000
1538013206258549;90001;Pen2_Die0;44.416000
1538013206258870;90001;Pen2_Die1;44.240000
1538013206259171;90001;Pen2_Die2;44.220000
1538013206259515;90001;Pen2_Die3;44.630000
1538013206259786;90001;Pen2_Die4;44.680000
